id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5805,Avalanche,AVAX,avalanche,677,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377288160.27803296,435977800.27803296,False,,11,,,,2024-03-07T12:22:00.000Z,43.00791207238038,814665669.5276574,-46.8184,0.57408534,5.88630937,0.32038416,26.98143973,23.52182128,56.42547841,16226376023.187798,0.6433,30965696692.11,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:48.256996
6636,Polkadot,DOT,polkadot-new,699,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1286781385.6456025,1419041887.353954,True,,12,,,,2024-03-07T12:22:00.000Z,10.488570056259993,720999590.670406,-38.8451,0.78006872,5.00841162,20.15209801,56.74888454,46.07816741,61.72270501,13496496710.43521,0.5351,14883720248.28,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:48.256996
1958,TRON,TRX,tron,940,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87920012838.66838,87920128801.18509,True,,13,71659659264.0,9820360827.968647,,2024-03-07T12:22:00.000Z,0.13704169024568819,410006294.1776271,-46.6027,-0.03374875,-0.59516424,-3.83906768,13.43002607,32.17762579,29.48704205,12048707165.833721,0.4777,12048723057.53,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:48.256996
1975,Chainlink,LINK,chainlink,1671,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-07T12:22:00.000Z,19.977390463599356,614310413.8962034,-48.624,0.49822374,2.13906998,-0.41929814,6.78373489,47.879198,21.46250908,11728725350.902964,0.465,19977390463.6,,2024-03-07T12:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-07 09:24:48.256996
3890,Polygon,MATIC,polygon,1299,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899144950.950434,10000000000.0,False,,15,,,,2024-03-07T12:22:00.000Z,1.1374606519262582,795580095.8381904,-43.4658,0.42780815,6.18685825,8.56665768,44.79979654,36.89042499,29.04513758,11259887869.420609,0.4464,11374606519.26,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:48.256996
1,Bitcoin,BTC,bitcoin,10861,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19647281.0,19647281.0,False,,1,,,,2024-03-07T12:23:00.000Z,67011.42388326552,55031809444.21013,-46.5798,0.42542107,0.17046119,6.92335779,56.86554942,52.03485331,53.33112942,1316592275244.629,52.182,1407239901548.58,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:52.010383
1027,Ethereum,ETH,ethereum,8507,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120114025.48534974,120114025.48534974,True,,2,,,,2024-03-07T12:23:00.000Z,3794.0860104560693,26054619028.136345,-48.9671,0.22697745,-1.6893226,9.07698292,63.32734762,69.57477141,60.21560563,455722943753.52924,18.0681,455722943753.53,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:52.010383
825,Tether USDt,USDT,tether,77186,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100729057191.32367,103797122782.5545,True,,3,,,,2024-03-07T12:22:00.000Z,1.0004985191185432,106606659895.00282,-43.7195,-0.00915642,0.02207791,0.0330492,0.1580718,-0.00174549,0.04142507,100779272552.12637,3.9956,103848867632.71,,2024-03-07T12:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-07 09:24:52.010383
1839,BNB,BNB,bnb,2084,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149540879.14991823,149540879.14991823,False,,4,,,,2024-03-07T12:22:00.000Z,439.6668159720079,2684351522.2426558,-30.6428,0.87972329,3.45938665,7.43190177,45.52241729,43.54193364,87.36099243,65748162193.49937,2.6059,65748162193.5,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:52.010383
5426,Solana,SOL,solana,635,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,443013622.20514506,571205417.1939559,True,,5,,,,2024-03-07T12:23:00.000Z,141.2479355544916,6148601711.344897,-35.5993,0.08191093,8.40720844,10.01450593,50.24141829,49.61759439,92.48379942,62574759558.99422,2.4801,80681585956.19,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:52.010383
